epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9239,1.34962,1.95712,1.31346,0.37279,0.3318,0.26997,0.09888,1.95619,2.67741,1.73908,0.000663805,0.000663805,0.000663805
2,99.1984,1.37175,1.54753,1.31415,0.41543,0.46185,0.33707,0.13479,1.98814,3.05453,1.69422,0.0013173,0.0013173,0.0013173
3,147.694,1.37972,1.42293,1.30968,0.25135,0.3494,0.24307,0.09344,2.07169,2.68751,1.87713,0.0019576,0.0019576,0.0019576
4,196.469,1.29433,1.31748,1.27297,0.56693,0.5502,0.51432,0.23226,1.79517,1.85832,1.55782,0.0019406,0.0019406,0.0019406
5,245.251,1.24442,1.24908,1.25443,0.66799,0.57831,0.58717,0.29113,1.7347,1.71571,1.47898,0.0019208,0.0019208,0.0019208
6,292.777,1.20608,1.21792,1.23351,0.54833,0.63869,0.56693,0.313,1.50934,1.63773,1.38288,0.001901,0.001901,0.001901
7,340.053,1.15422,1.15372,1.21461,0.76873,0.67068,0.66797,0.36058,1.46151,1.4423,1.34268,0.0018812,0.0018812,0.0018812
8,387.87,1.15085,1.1371,1.21003,0.70014,0.67871,0.6556,0.35754,1.39443,1.44593,1.2973,0.0018614,0.0018614,0.0018614
9,435.382,1.10886,1.09923,1.18913,0.69622,0.67193,0.68085,0.3679,1.53754,1.44493,1.37114,0.0018416,0.0018416,0.0018416
10,482.476,1.10857,1.09475,1.18592,0.6645,0.70683,0.67704,0.43102,1.36174,1.31293,1.29208,0.0018218,0.0018218,0.0018218
11,529.976,1.07798,1.03468,1.16492,0.73748,0.71486,0.69662,0.42727,1.40909,1.35052,1.29227,0.001802,0.001802,0.001802
12,577.371,1.07761,1.0543,1.17658,0.74595,0.64659,0.69732,0.40185,1.42102,1.39318,1.26442,0.0017822,0.0017822,0.0017822
13,624.951,1.04859,1.03397,1.15762,0.76273,0.72691,0.73395,0.45889,1.3456,1.34308,1.19892,0.0017624,0.0017624,0.0017624
14,672.434,1.02675,0.99965,1.14834,0.65685,0.68273,0.67037,0.42181,1.31916,1.31761,1.26301,0.0017426,0.0017426,0.0017426
15,719.911,1.01854,0.98435,1.15138,0.78439,0.68667,0.73189,0.48403,1.21208,1.24257,1.18433,0.0017228,0.0017228,0.0017228
16,767.292,1.01062,0.97728,1.14331,0.74963,0.67068,0.70307,0.47809,1.23303,1.20104,1.16748,0.001703,0.001703,0.001703
